player_name,matches_played,mins,total_open_play_passes,successfull_open_play_passes,percentage_open_play_passes,in_final_third_total,in_final_third_successfull,in_final_third_percentage,crosses_total,crosses_successful,crosses_percentage,through_balls,player_id,club_name
Trey Nyoni,6,21,22,20,90.9%,6,6,100.0%,0,0,0.0%,0,p591386,Liverpool
Julio Soler,3,34,23,20,87.0%,5,4,80.0%,2,0,0.0%,0,p575901,Bournemouth
Fábio Carvalho,6,100,25,20,80.0%,6,5,83.3%,3,0,0.0%,0,p244858,Brentford
Zeki Amdouni,4,69,20,19,95.0%,6,5,83.3%,0,0,0.0%,0,p492831,Burnley
Tyler Fletcher,2,17,19,18,94.7%,2,2,100.0%,0,0,0.0%,0,p519913,Man Utd
Séamus Coleman,5,20,18,18,100.0%,5,5,100.0%,3,2,66.7%,0,p59949,Everton
Divine Mukasa,2,25,19,18,94.7%,12,11,91.7%,0,0,0.0%,1,p590039,Man City
George Hemmings,2,25,17,17,100.0%,3,3,100.0%,0,0,0.0%,0,p577285,Aston Villa
Stefanos Tzimas,9,133,24,17,70.8%,11,6,54.5%,1,0,0.0%,1,p608181,Brighton
Igor Julio,4,103,22,16,72.7%,5,2,40.0%,0,0,0.0%,0,p223434,Brighton
Patrick Roberts,1,27,20,16,80.0%,11,8,72.7%,0,0,0.0%,1,p124165,Sunderland
Alysson Edward,3,47,17,14,82.3%,11,9,81.8%,2,0,0.0%,0,p653481,Aston Villa
Tom Watson,6,57,19,14,73.7%,8,6,75.0%,0,0,0.0%,0,p549074,Brighton
Emil Krafth,1,45,19,14,73.7%,8,4,50.0%,1,0,0.0%,0,p111773,Newcastle
Romain Esse,4,40,20,13,65.0%,9,5,55.6%,2,0,0.0%,0,p606921,Crystal Palace
Jesse Derry,1,44,13,12,92.3%,8,7,87.5%,2,1,50.0%,0,p619734,Chelsea
Tyrell Malacia,3,15,13,11,84.6%,3,1,33.3%,0,0,0.0%,0,p222690,Man Utd
Jonah Kusi-Asare,7,49,16,11,68.8%,8,6,75.0%,0,0,0.0%,0,p631786,Fulham
Shea Lacey,3,40,11,9,81.8%,3,3,100.0%,0,0,0.0%,0,p576628,Man Utd
Solly March,4,38,12,9,75.0%,4,3,75.0%,4,0,0.0%,0,p109345,Brighton
Romelle Donovan,4,38,16,9,56.3%,9,7,77.8%,2,0,0.0%,0,p606689,Brentford
Lorenzo Lucca,4,127,16,9,56.3%,7,3,42.9%,0,0,0.0%,0,p469130,Nott'm Forest
Callum Olusesi,1,14,8,8,100.0%,4,4,100.0%,0,0,0.0%,0,p499726,Spurs
Dan Neil,3,13,9,8,88.9%,2,1,50.0%,0,0,0.0%,0,p223336,Sunderland
Joél Drakes-Thomas,2,7,11,8,72.7%,5,4,80.0%,0,0,0.0%,0,p672492,Crystal Palace
Antoni Milambo,1,45,11,8,72.7%,5,3,60.0%,0,0,0.0%,0,p543295,Brentford
Alex Murphy,2,7,7,7,100.0%,2,2,100.0%,0,0,0.0%,0,p545477,Newcastle
Jamaldeen Jimoh-Aloba,1,8,7,6,85.7%,1,1,100.0%,0,0,0.0%,0,p559962,Aston Villa
Jamaal Lascelles,2,19,8,6,75.0%,2,0,0.0%,0,0,0.0%,0,p101148,Newcastle
Tom Edozie,3,12,7,5,71.4%,2,1,50.0%,0,0,0.0%,0,p596054,Wolves
Bendito Mantato,1,15,5,5,100.0%,1,1,100.0%,1,0,0.0%,0,p576620,Man Utd
Ashley Barnes,7,40,13,4,30.8%,11,3,27.3%,0,0,0.0%,0,p44699,Burnley
Josh Dasilva,2,2,5,4,80.0%,3,2,66.7%,0,0,0.0%,0,p183656,Brentford
Jun'ai Byfield,1,1,5,4,80.0%,2,2,100.0%,0,0,0.0%,0,p640419,Spurs
Jaydon Banel,1,9,4,4,100.0%,3,3,100.0%,0,0,0.0%,0,p551206,Burnley
Sasa Kalajdzic,1,14,5,4,80.0%,2,1,50.0%,0,0,0.0%,0,p429414,Wolves
Bradley Burrowes,1,16,5,3,60.0%,1,1,100.0%,3,0,0.0%,0,p645618,Aston Villa
Sam Byram,2,8,6,3,50.0%,1,0,0.0%,0,0,0.0%,0,p113564,Leeds
Kaden Rodney,1,3,5,3,60.0%,2,1,50.0%,0,0,0.0%,0,p530318,Crystal Palace
Tawanda Chirewa,2,25,3,3,100.0%,1,1,100.0%,0,0,0.0%,0,p497606,Wolves
George Earthy,1,8,3,3,100.0%,1,1,100.0%,0,0,0.0%,0,p490885,West Ham
Djiamgone Jocelin Ta Bi,1,39,2,2,100.0%,1,1,100.0%,2,0,0.0%,0,p699989,Sunderland
Dane Scarlett,2,7,4,2,50.0%,0,0,0.0%,1,1,100.0%,0,p490145,Spurs
Callum Marshall,2,58,4,2,50.0%,1,0,0.0%,0,0,0.0%,0,p565431,West Ham
Jota Silva,1,11,2,2,100.0%,1,1,100.0%,1,0,0.0%,0,p510500,Nott'm Forest
Hamed Traoré,1,16,2,2,100.0%,0,0,0.0%,0,0,0.0%,0,p424044,Bournemouth
Jerome Abbey,1,16,5,1,20.0%,2,0,0.0%,0,0,0.0%,0,p685628,Wolves
Shumaira Mheuka,1,1,2,1,50.0%,0,0,0.0%,0,0,0.0%,0,p567119,Chelsea
Connor Roberts,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p192290,Burnley
Ethan Sutherland,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p589121,Wolves
